wkt_geom,easting,northing,vs30,uncertainty,station,q,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv,gid
Point (1969272.9600694898981601 5839442.2200968898832798),1969272.96,5839442.22,1000,0.5,WSRZ,3,1068.298,0.6903283,16,218.11823,0.39540365,15
Point (1878446.88401430007070303 5822916.81024158000946045),1878446.884,5822916.81,229,0.5,933B,3,1068.298,0.6903283,15,220.0589,0.4556925,14
Point (1878298.75559403002262115 5822479.28476557973772287),1878298.756,5822479.285,209,0.1,TBCS,1,1068.298,0.6903283,13,255.27419,0.65902555,14
Point (1853854.77584418002516031 5738144.47621347010135651),1853854.776,5738144.476,600,0.5,TIRS,3,1068.298,0.6903283,13,255.27419,0.65902555,14
Point (1866814.90816464996896684 5713564.59382015001028776),1866814.908,5713564.594,454,0.5,TPPS,3,1068.298,0.6903283,255,NA,NA,14
Point (1871611.1797550399787724 5719918.66634702030569315),1871611.18,5719918.666,409,0.5,ARAZ,3,1068.298,0.6903283,7,769.95667,0.7053239,14
Point (1821133.31561673991382122 5649542.16361401043832302),1821133.316,5649542.164,1000,0.5,DRZ,3,1068.298,0.6903283,15,220.0589,0.4556925,14
Point (1858833.93330191005952656 5807237.16203186009079218),1858833.933,5807237.162,467,0.5,KMRZ,3,1068.298,0.6903283,7,769.95667,0.7053239,14
Point (1831413.6034364199731499 5668885.40104083996266127),1831413.603,5668885.401,1000,0.5,NTVZ,3,1068.298,0.6903283,11,691.41766,0.7239429,14
Point (1831413.6034364199731499 5668885.40104083996266127),1831413.603,5668885.401,1000,0.5,TON8,3,1068.298,0.6903283,11,691.41766,0.7239429,14
Point (1906510.67712761997245252 5572463.85265750996768475),1906510.677,5572463.853,495,0.5,032A,3,439.86578,0.702906,10,361.86108,0.53872114,13
Point (1843643.12469571991823614 5531114.52492322027683258),1843643.125,5531114.525,290,0.5,120A,3,265.359,0.5950514,16,218.11823,0.39540365,13
Point (1822081.82685683993622661 5529526.94826294016093016),1822081.827,5529526.948,341,0.5,301A,3,259.48697,0.5950514,15,220.0589,0.4556925,13
Point (1822091.41358253988437355 5526082.34607283025979996),1822091.414,5526082.346,283,0.5,340A,3,268.5947,0.5950514,11,691.41766,0.7239429,13
Point (1806362.16466062003746629 5434913.92383269034326077),1806362.165,5434913.924,390,0.5,MAVS,3,264.1043,0.5950514,16,218.11823,0.39540365,13
Point (1820473.23000889993272722 5821088.44761476013809443),1820473.23,5821088.448,800,0.5,TOZ,3,439.86578,0.702906,5,736.6329,0.65327823,13
Point (1852563.86346578993834555 5561541.82062561996281147),1852563.863,5561541.821,800,0.5,TSZ,3,439.86578,0.702906,3,934.96515,0.6438865,13
Point (1843768.8313945799600333 5530749.24061259999871254),1843768.831,5530749.241,290,0.5,WDPS,3,265.33487,0.5950514,16,218.11823,0.39540365,13
Point (1881255.4117447598837316 5522762.47367069963365793),1881255.412,5522762.474,800,0.5,034A,3,782.0686,0.6023249,12,502.12625,0.6824076,12
Point (1748527.20995224011130631 5428921.60740425996482372),1748527.21,5428921.607,330,0.5,648A,3,275,0.5950514,9,495.74252,0.7043546,12
Point (1749011.41347802011296153 5428904.49797798041254282),1749011.413,5428904.498,275,0.2,902A,2,270.72028,0.5950514,14,302.07278,0.53168344,12
Point (1748436.81165285990573466 5427812.95769722014665604),1748436.812,5427812.958,1000,0.5,913A,3,782.0686,0.6023249,6,491.11566,0.68166685,12
Point (1748487.52147161005996168 5426978.94265718013048172),1748487.521,5426978.943,282,0.2,914A,2,271.5766,0.5950514,10,361.86108,0.53872114,12
Point (1748487.52147161005996168 5426978.94265718013048172),1748487.521,5426978.943,282,0.2,914B,2,271.5766,0.5950514,10,361.86108,0.53872114,12
Point (1748673.54491917998529971 5427075.13076581992208958),1748673.545,5427075.131,291,0.2,916A,2,268.59586,0.5950514,14,302.07278,0.53168344,12
Point (1748067.55402229004539549 5428197.9975009998306632),1748067.554,5428197.998,1000,0.5,918B,3,782.0686,0.6023249,11,691.41766,0.7239429,12
Point (1748066.6482797299977392 5428153.52842335030436516),1748066.648,5428153.528,1000,0.5,918C,3,782.0686,0.6023249,11,691.41766,0.7239429,12
Point (1748775.61484355991706252 5427128.54569627996534109),1748775.615,5427128.546,307,0.2,919A,2,268.59586,0.5950514,14,302.07278,0.53168344,12
Point (1748527.20995224011130631 5428921.60740425996482372),1748527.21,5428921.607,330,0.5,921A,3,275,0.5950514,9,495.74252,0.7043546,12
Point (1874354.19076092005707324 5491735.28998622018843889),1874354.191,5491735.29,800,0.5,BFZ,3,782.0686,0.6023249,5,736.6329,0.65327823,12
Point (1761516.35850200010463595 5438210.2709890203550458),1761516.359,5438210.271,1000,0.5,BMTS,3,782.0686,0.6023249,5,736.6329,0.65327823,12
Point (1762656.50399835989810526 5436404.43612346984446049),1762656.504,5436404.436,1000,0.5,FAIS,3,782.0686,0.6023249,5,736.6329,0.65327823,12
Point (1766266.39383049006573856 5442484.09042050037533045),1766266.394,5442484.09,526,0.5,HSSS,3,782.0686,0.6023249,8,614.3239,0.71882683,12
Point (1898406.12034379993565381 5629391.36155002005398273),1898406.12,5629391.362,760,0.5,KFHS,3,782.0686,0.6023249,5,736.6329,0.65327823,12
Point (2004671.49607133003883064 5670404.74277654010802507),2004671.496,5670404.743,800,0.5,KNZ,3,782.0686,0.6023249,3,934.96515,0.6438865,12
Point (1742327.28946850006468594 5434775.35486408974975348),1742327.289,5434775.355,1000,0.5,MKBS,3,782.0686,0.6023249,11,691.41766,0.7239429,12
Point (1742862.72946682991459966 5430375.19086330011487007),1742862.729,5430375.191,480,0.5,MKVS,3,273.49805,0.5950514,11,691.41766,0.7239429,12
Point (1817977.62609898997470737 5495727.42747003957629204),1817977.626,5495727.427,800,0.5,MRZ,3,782.0686,0.6023249,9,495.74252,0.7043546,12
Point (1995813.539775530109182 5747414.26585320010781288),1995813.54,5747414.266,800,0.5,MWZ,3,782.0686,0.6023249,4,1023.52203,0.707888,12
Point (2068836.46615079999901354 5829494.049437640234828),2068836.466,5829494.049,1000,0.5,MXZ,3,1068.298,0.6903283,8,614.3239,0.71882683,12
