wkt_geom,easting,northing,vs30,uncertainty,station,q,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv,gid
Point (1878298.75559403002262115 5822479.28476557973772287),1878298.756,5822479.285,209,0.1,TBCS,1,1068.298,0.6903283,13,255.27419,0.65902555,14
Point (1749011.41347802011296153 5428904.49797798041254282),1749011.413,5428904.498,275,0.2,902A,2,270.72028,0.5950514,14,302.07278,0.53168344,12
Point (1748487.52147161005996168 5426978.94265718013048172),1748487.521,5426978.943,282,0.2,914A,2,271.5766,0.5950514,10,361.86108,0.53872114,12
Point (1748487.52147161005996168 5426978.94265718013048172),1748487.521,5426978.943,282,0.2,914B,2,271.5766,0.5950514,10,361.86108,0.53872114,12
Point (1748673.54491917998529971 5427075.13076581992208958),1748673.545,5427075.131,291,0.2,916A,2,268.59586,0.5950514,14,302.07278,0.53168344,12
Point (1748775.61484355991706252 5427128.54569627996534109),1748775.615,5427128.546,307,0.2,919A,2,268.59586,0.5950514,14,302.07278,0.53168344,12
Point (1749020.12058609002269804 5429267.00045727007091045),1749020.121,5429267,265,0.1,WEMS,1,270.504,0.5950514,15,220.0589,0.4556925,12
Point (1748645.57125232997350395 5426332.54486155975610018),1748645.571,5426332.545,493,0.1,WNHS,1,782.0686,0.6023249,11,691.41766,0.7239429,12
Point (1745879.54589280998334289 5428161.30923353042453527),1745879.546,5428161.309,369,0.1,WNKS,1,269.67847,0.5950514,11,691.41766,0.7239429,12
Point (2024097.44483676995150745 5654811.81926306989043951),2024097.445,5654811.819,1000,0.1,MHGZ,1,782.0686,0.6023249,11,691.41766,0.7239429,12
Point (1792041.78518856992013752 5891390.53977447003126144),1792041.785,5891390.54,800,0.2,MKAZ,2,782.0686,0.6023249,5,736.6329,0.65327823,12
Point (1757230.32862793002277613 5736718.98266540002077818),1757230.329,5736718.983,800,0.2,MOZ,2,782.0686,0.6023249,5,736.6329,0.65327823,12
Point (1763894.04650738998316228 5437077.98701552022248507),1763894.047,5437077.987,190,0.1,468A,1,266.16132,0.5950514,16,218.11823,0.39540365,10
Point (1761252.04732196009717882 5436737.3323241900652647),1761252.047,5436737.332,330,0.2,651A,2,261.68674,0.5950514,15,220.0589,0.4556925,10
Point (1761531.51462303008884192 5436698.51826092973351479),1761531.515,5436698.518,330,0.2,LNBS,2,260.8229,0.5950514,14,302.07278,0.53168344,10
Point (1759597.72162892995402217 5434025.08085590973496437),1759597.722,5434025.081,256,0.1,LRSS,1,254.2112,0.5950514,15,220.0589,0.4556925,10
Point (1763814.32761845993809402 5436948.42262934986501932),1763814.328,5436948.423,190,0.1,NBSS,1,266.16132,0.5950514,14,302.07278,0.53168344,10
Point (1763954.66498335008509457 5439376.20044904015958309),1763954.665,5439376.2,510,0.1,TAIS,1,261.25446,0.5950514,15,220.0589,0.4556925,10
Point (1771321.66525775007903576 5445157.62266797013580799),1771321.665,5445157.623,390,0.1,UHCS,1,262.19586,0.5950514,15,220.0589,0.4556925,10
Point (1773350.53372380998916924 5445158.09407148044556379),1773350.534,5445158.094,481,0.1,UHSS,1,262.807,0.5950514,14,302.07278,0.53168344,10
Point (1762053.43964359001256526 5431795.01635884027928114),1762053.44,5431795.016,190,0.2,PRKS,2,387.9002,0.68287367,13,255.27419,0.65902555,7
Point (2037085.67154812999069691 5708273.14800374023616314),2037085.672,5708273.148,162,0.1,017A,1,213.60303,0.39401674,16,218.11823,0.39540365,6
Point (2037290.41795092006213963 5708507.08922081999480724),2037290.418,5708507.089,138,0.2,018A,2,199.03853,0.39401674,15,220.0589,0.4556925,6
Point (1709359.8301775399595499 5617533.17176030017435551),1709359.83,5617533.172,210,0.2,025A,2,439.86578,0.702906,16,218.11823,0.39540365,6
Point (1760658.41198629001155496 5433384.82110907044261694),1760658.412,5433384.821,350,0.2,249A,2,239,0.39401674,6,491.11566,0.68166685,6
Point (1757524.63406548998318613 5434663.83432327955961227),1757524.634,5434663.834,200,0.2,608A,2,190.12105,0.39401674,16,218.11823,0.39540365,6
Point (1760666.08487152005545795 5433384.65181931015104055),1760666.085,5433384.652,350,0.1,642A,1,239,0.39401674,6,491.11566,0.68166685,6
Point (1760736.0682224000338465 5433483.10595258977264166),1760736.068,5433483.106,350,0.1,642E,1,239,0.39401674,6,491.11566,0.68166685,6
Point (1760668.65184451011009514 5433385.01890403032302856),1760668.652,5433385.019,350,0.1,642G,1,239,0.39401674,6,491.11566,0.68166685,6
Point (1760666.08487152005545795 5433384.65181931015104055),1760666.085,5433384.652,350,0.1,642H,1,239,0.39401674,6,491.11566,0.68166685,6
Point (1751345.96707716002129018 5423443.07442533038556576),1751345.967,5423443.074,239,0.2,912A,2,212.684,0.39401674,15,220.0589,0.4556925,6
Point (1759873.9879075800999999 5432446.59546773042529821),1759873.988,5432446.595,180,0.1,934B,1,228.85172,0.39401674,15,220.0589,0.4556925,6
Point (1759115.62319913995452225 5427371.36056324001401663),1759115.623,5427371.361,540,0.2,EBPS,2,239,0.39401674,1,791.7739,0.6686169,6
Point (2037080.17362883989699185 5708245.82928689010441303),2037080.174,5708245.829,162,0.1,GISS,1,212.88242,0.39401674,16,218.11823,0.39540365,6
Point (1709426.36045980011112988 5617511.05561309959739447),1709426.36,5617511.056,210,0.2,HWHS,2,439.86578,0.702906,16,218.11823,0.39540365,6
Point (1758704.16889639990404248 5433887.4074516398832202),1758704.169,5433887.407,212,0.1,LHUS,1,239,0.39401674,16,218.11823,0.39540365,6
Point (1752206.39835680997930467 5424691.5379631295800209),1752206.398,5424691.538,274,0.1,MISS,1,222.52544,0.39401674,13,255.27419,0.65902555,6
Point (1757530.02175165992230177 5434617.10943770036101341),1757530.022,5434617.109,200,0.2,PGMS,2,190.12105,0.39401674,16,218.11823,0.39540365,6
Point (1757066.44314385997131467 5434600.42574321012943983),1757066.443,5434600.426,190,0.2,PVCS,2,239,0.39401674,16,218.11823,0.39540365,6
Point (1753785.98822683002799749 5423374.41751352977007627),1753785.988,5423374.418,305,0.1,SEAS,1,239,0.39401674,255,NA,NA,6
Point (1751392.94301523989997804 5423428.96002312004566193),1751392.943,5423428.96,229,0.1,WNAS,1,212.684,0.39401674,15,220.0589,0.4556925,6
Point (1935265.31186779006384313 5621691.48557128012180328),1935265.312,5621691.486,440,0.2,015A,2,272.22363,0.5950514,11,691.41766,0.7239429,5
Point (1936720.7296437700279057 5621981.76247879955917597),1936720.73,5621981.762,440,0.2,NGHS,2,271.35132,0.5950514,9,495.74252,0.7043546,5
Point (1929774.16624396992847323 5604530.50133583042770624),1929774.166,5604530.501,196,0.1,029A,1,261.7628,0.5950514,16,218.11823,0.39540365,4
Point (1982936.58189521008171141 5670158.86585136037319899),1982936.582,5670158.866,155,0.2,096A,2,275,0.5950514,255,NA,NA,4
Point (1982936.04533620993606746 5670147.85261602979153395),1982936.045,5670147.853,155,0.2,225B,2,275,0.5950514,255,NA,NA,4
