wkt_geom,easting,northing,vs30,uncertainty,station,q,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv,gid
Point (1568063.65397009998559952 5205264.81817215029150248),1568063.654,5205264.818,225.27951,0.200000003,NA,NA,265.769,0.5950514,16,218.11823,0.39540365,13
Point (1568039.90609856997616589 5204912.94484160002321005),1568039.906,5204912.945,227.85147,0.200000003,NA,NA,264.38824,0.5950514,16,218.11823,0.39540365,13
Point (1583847.38062916998751462 5265879.79889074992388487),1583847.381,5265879.799,407,0.1,CULC,1,264.23557,0.5950514,16,218.11823,0.39540365,13
Point (1527402.00285506993532181 5184413.95656780991703272),1527402.003,5184413.957,515,0.1,DFHS,1,264.778,0.5950514,16,218.11823,0.39540365,13
Point (1526436.15244782995432615 5173684.05010783020406961),1526436.152,5173684.05,457,0.1,GDLC,1,263.4692,0.5950514,16,218.11823,0.39540365,13
Point (1515969.81985209998674691 5178731.4333689296618104),1515969.82,5178731.433,531,0.1,HORC,1,264.1043,0.5950514,16,218.11823,0.39540365,13
Point (1559114.98923836997710168 5198035.17600490991026163),1559114.989,5198035.176,546,0.1,SWNC,1,262.97467,0.5950514,16,218.11823,0.39540365,13
Point (1583644.79942420008592308 5272347.66649584006518126),1583644.799,5272347.666,478,0.1,WIGC,1,264.23557,0.5950514,16,218.11823,0.39540365,13
Point (1573082.18330395990051329 5196278.56204492039978504),1573082.183,5196278.562,210.64896,0.200000003,NA,NA,260.63278,0.5950514,15,220.0589,0.4556925,10
Point (1569576.63684976007789373 5175288.98086981009691954),1569576.637,5175288.981,900,0.2,CRLZ,2,405.4836,0.5624408,7,769.95667,0.7053239,8
Point (1576539.76302158995531499 5174756.42508601956069469),1576539.763,5174756.425,348,0.1,HVSC,1,405.4836,0.5624408,6,491.11566,0.68166685,8
Point (1571374.74890764011070132 5175474.52581289038062096),1571374.749,5175474.526,233.53943,0.200000003,NA,NA,387.9002,0.68287367,5,736.6329,0.65327823,7
Point (1568008.95227042003534734 5172784.91892009042203426),1568008.952,5172784.919,166.75334,0.200000003,NA,NA,387.9002,0.68287367,9,495.74252,0.7043546,7
Point (1567984.96250237990170717 5172768.92388714011758566),1567984.963,5172768.924,169.70062,0.200000003,NA,NA,387.9002,0.68287367,6,491.11566,0.68166685,7
Point (1483084.96425151010043919 5243927.93336741998791695),1483084.964,5243927.933,300,0.2,505A,2,275,0.5950514,10,361.86108,0.53872114,7
Point (1597063.21836957009509206 5149128.05334309954196215),1597063.218,5149128.053,435,0.1,AKSS,1,387.9002,0.68287367,9,495.74252,0.7043546,7
Point (1483160.84234804008156061 5243859.30855797976255417),1483160.842,5243859.309,300,0.2,APPS,2,275,0.5950514,14,302.07278,0.53168344,7
Point (1576480.11040563997812569 5207643.26943023037165403),1576480.11,5207643.269,224.85387,0.200000003,NA,NA,211.89963,0.39401674,16,218.11823,0.39540365,6
Point (1577001.15247627999633551 5207261.89818414021283388),1577001.152,5207261.898,205.06209,0.200000003,NA,NA,217.67502,0.39401674,16,218.11823,0.39540365,6
Point (1576829.95183842000551522 5206767.58601935021579266),1576829.952,5206767.586,220.53214,0.200000003,NA,NA,217.4745,0.39401674,16,218.11823,0.39540365,6
Point (1575746.55678221001289785 5204782.3478861004114151),1575746.557,5204782.348,199.89568,0.200000003,NA,NA,210.48042,0.39401674,16,218.11823,0.39540365,6
Point (1575661.8295285499189049 5204392.99453928973525763),1575661.83,5204392.995,200.48517,0.200000003,NA,NA,216.96404,0.39401674,16,218.11823,0.39540365,6
Point (1575674.57452298002317548 5204383.99762160982936621),1575674.575,5204383.998,213.54175,0.200000003,NA,NA,216.96404,0.39401674,16,218.11823,0.39540365,6
Point (1572807.56788588990457356 5199632.31148689985275269),1572807.568,5199632.311,209.11757,0.200000003,NA,NA,204.76987,0.39401674,16,218.11823,0.39540365,6
Point (1572831.55620766989886761 5199410.39376830030232668),1572831.556,5199410.394,209.66026,0.200000003,NA,NA,209.68175,0.39401674,16,218.11823,0.39540365,6
