file,file key,first_depth,last_depth,row_count,max_depth,Vsz,Vs30,nztm_x,nztm_y,gid
SDMT_92557.csv,92557,2.75,28.25,52,28,178.5205211,181.7362654,1804935,5817556,1
SDMT_92556.csv,92556,2.25,27.25,51,27,174.6658712,179.6257312,1804917,5817543,1
SDMT_92555.csv,92555,2.25,29.75,54,29,173.2385635,174.7567546,1804927,5817551,1
SDMT_92554.csv,92554,2.25,19.75,36,19,239.2222252,270.5499784,1806147,5814892.4,4
SDMT_92549.csv,92549,1.75,22.75,42,22,273.7805505,298.5569352,1806368,5812715,4
SDMT_92548.csv,92548,1.25,18.25,35,18,242.450707,277.8695979,1806263,5812590,4
SDMT_92547.csv,92547,2.25,29.75,56,29,262.536663,265.0026249,1806129,5814873,4
SDMT_92546.csv,92546,1.25,25.75,50,25,244.479109,257.3189923,1806177,5811961,4
SDMT_92545.csv,92545,1.25,21.75,41,21,238.4491318,262.9202247,1806249,5811958,4
SDMT_92544.csv,92544,1.25,15.25,28,15,180.4966864,213.6039966,1806275,5812609,4
SDMT_92543.csv,92543,1.25,19.75,38,19,194.4146909,219.3417021,1806316,5812683,4
SDMT_92542.csv,92542,1.75,28.75,55,28,237.3486089,241.8374803,1806486,5814497,4
SDMT_92541.csv,92541,1.25,17.75,34,17,202.2919714,234.0761906,1806356,5814614,4
SDMT_92540.csv,92540,2.75,24.25,44,24,146.6953953,155.8199542,1806380,5814582,4
SDMT_92539.csv,92539,1.25,18.25,35,18,163.4283454,186.2422879,1805543,5816310,1
SDMT_92538.csv,92538,2.25,27.75,52,27,201.9799431,207.8452343,1805285,5817044,1
SDMT_92537.csv,92537,1.25,29.25,57,29,161.6682364,163.0681213,1805273,5817095,1
SDMT_92536.csv,92536,2.75,17.25,30,17,110.8164142,126.7700235,1804259,5818169,12
SDMT_92535.csv,92535,2.25,28.25,53,28,178.557149,181.7736687,1804225,5818158,12
SDMT_92534.csv,92534,1.75,28.75,55,28,237.3486089,241.8374803,1803287,5819719,1
SDMT_92527.csv,92527,1.75,19.25,36,19,198.0770247,223.5224056,1798447,5824488,4
SDMT_92526.csv,92526,2.25,16.75,30,16,281.9356531,332.7450125,1797944,5825151,12
SDMT_92525.csv,92525,1.25,21.25,41,21,202.3821001,222.8884363,1806189,5812161,4
SDMT_92524.csv,92524,1.25,20.75,40,20,200.4260874,223.4919135,1806148,5812217,4
SDMT_67016.csv,67016,1.75,23.75,45,23,115.6785193,124.2010829,1758381,5907242,12
SDMT_67014.csv,67014,1.25,19.75,34,19,108.6429808,121.7410077,1758305.5,5907245.45,12
SDMT_67012.csv,67012,2.5,22.25,40,22,158.0571885,171.9447956,1758192,5907236,12
SDMT_67011.csv,67011,2.5,16.75,28,16,123.0712647,142.4250487,1758263,5907278,12
SDMT_67004.csv,67004,1.75,24.75,42,24,131.9771983,140.1225557,1758390,5907373,12
SDMT_67003.csv,67003,1.5,20,29,20,158.0918046,175.888723,1758515,5907637,12
SDMT_67002.csv,67002,1.25,19.75,38,19,182.5537043,205.8083166,1758218,5907920,4
SDMT_66984.csv,66984,1.25,20,32,20,178.265174,198.5594856,1758127,5907935,4
SDMT_66983.csv,66983,1.25,19.75,38,19,186.440963,210.242577,1758127,5907940,4
SDMT_211387.csv,211387,1.25,16.25,31,16,204.7156781,239.7829978,1879204,5825009,13
SDMT_211107.csv,211107,1.75,23.25,44,23,204.7815133,220.3967414,1766891.27,5913193.13,12
SDMT_205743.csv,205743,2.25,27.75,28,27,205.3597195,211.338236,1878996.98,5825836.74,
SDMT_205742.csv,205742,1.75,30.25,31,30,188.9253415,188.9253415,1879139.75,5825816.91,4
SDMT_200778.csv,200778,1.25,16.75,32,16,158.0432486,183.9839497,1759358.6,5908049.8,4
SDMT_183367.csv,183367,2.25,24.25,45,24,209.9811757,223.3864048,1875232.77,5822407.94,14
SDMT_183366.csv,183366,1.25,24.25,47,24,184.4425357,196.1079893,1875299.95,5822344.25,14
SDMT_178947.csv,178947,1.5,19.5,19,19,110.9116048,124.3131926,1873586.04,5821566.64,4
SDMT_178944.csv,178944,1.5,16.5,16,16,113.5226034,131.1235787,1873305.13,5821831.11,4
SDMT_173187.csv,173187,1.75,17.75,33,17,192.4314643,222.4550812,1892706.74,5820342.22,6
SDMT_167297.csv,167297,1.25,15.25,29,15,153.184911,180.5020627,1757142.66,5918342.39,2
SDMT_167295.csv,167295,1.75,15.25,28,15,160.0670068,188.8295516,1757133.96,5918345.58,14
SDMT_167294.csv,167294,2.25,17.25,31,17,155.3479189,178.8567122,1757123.93,5918331.22,2
SDMT_167216.csv,167216,1.75,16.75,31,16,162.6839847,189.5163455,1757119.19,5918334.43,14
SDMT_167211.csv,167211,11.75,15.75,9,15,245.900228,293.3802615,1756901.24,5918373.12,2
SDMT_156439.csv,156439,2.25,29.75,56,29,210.9162763,212.827474,1879509.09,5824720.5,13
SDMT_156438.csv,156438,2.25,19.75,36,19,221.4799922,250.2585438,1879463.06,5824712.38,13
SDMT_156437.csv,156437,2.25,29.25,54,29,176.9756441,178.5323007,1879475.58,5824741.81,13
SDMT_156436.csv,156436,2.25,18.25,33,18,167.024101,190.3996574,1879500.81,5824770.64,13
SDMT_156435.csv,156435,2.25,29.75,56,29,252.6595392,255.0180574,1879462.14,5824777.57,13
SDMT_141748.csv,141748,1.25,18.25,35,18,130.28955,147.9937184,1728113.64,5941560.98,4
SDMT_139897.csv,139897,1.25,15.75,30,15,209.7144271,249.1621863,1801761.35,5814836.06,4
SDMT_139896.csv,139896,1.25,23.25,45,23,203.5815658,219.0998861,1801755.19,5814823.15,4
SDMT_134555.csv,134555,2.25,21.25,39,21,246.5321144,271.8979854,1765172.5,5904710.05,12
SDMT_123208.csv,123208,3.75,24.25,42,24,164.3120301,174.6174893,1756574.3,5921601.3,2
SDMT_123179.csv,123179,2.5,24.75,41,24,203.3423309,216.293853,1756685.38,5921534.5,2
SDMT_123178.csv,123178,1.75,23.25,44,23,160.404891,172.4592608,1756748.63,5921599.79,2
SDMT_123177.csv,123177,10.75,15.25,10,15,203.4920944,241.5779781,1756595.08,5921434.39,2
SDMT_122152.csv,122152,2.25,19.75,36,19,198.7350157,224.2736255,1879473.12,5824826.13,13
SDMT_122142.csv,122142,0.75,24.75,49,24,135.4436033,143.8189325,1885418.97,5823525,1
SDMT_122141.csv,122141,1.75,23.25,44,23,181.8951364,195.667788,1885592.98,5823418.19,1
SDMT_120590.csv,120590,1.25,20.75,40,20,178.0637186,198.3329655,1766878.04,5913100.89,12
SDMT_106511.csv,106511,1.25,15.25,29,15,178.1519192,210.7566543,1751825.14,5917589.27,12
