wkt_geom,easting,northing,vs30,uncertainty,station,q,gid,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv
Point (1933261.13796533574350178 5620565.33963384479284286),1933261.138,5620565.34,176,0.1,014A,1,3,183.16321,0.2840642,15,220.0589,0.4556925
Point (1935265.31186778517439961 5621691.48557128012180328),1935265.312,5621691.486,440,0.2,015A,2,4,272.22363,0.5950514,11,691.41766,0.7239429
Point (2037740.00310149136930704 5706989.57175205741077662),2037740.003,5706989.572,480,0.5,016A,3,4,271.77884,0.5950514,7,769.95667,0.7053239
Point (2037085.67154812929220498 5708273.14800373930484056),2037085.672,5708273.148,162,0.1,017A,1,6,213.60303,0.39401674,16,218.11823,0.39540365
Point (2037290.41795091633684933 5708507.08922082372009754),2037290.418,5708507.089,138,0.2,018A,2,6,199.03853,0.39401674,15,220.0589,0.4556925
Point (1692922.44761863467283547 5676345.12081258557736874),1692922.448,5676345.121,350,0.5,024A,3,4,268.86615,0.5950514,11,691.41766,0.7239429
Point (1709359.83017753646709025 5617533.17176030017435551),1709359.83,5617533.172,210,0.2,025A,2,13,439.86578,0.702906,16,218.11823,0.39540365
Point (1935001.71933718328364193 5619978.38562894333153963),1935001.719,5619978.386,230,0.2,027A,2,3,175.85156,0.2840642,15,220.0589,0.4556925
Point (1935001.71933718328364193 5619978.38562894333153963),1935001.719,5619978.386,230,0.2,027C,2,3,175.85156,0.2840642,15,220.0589,0.4556925
Point (1937056.97946818615309894 5621669.2278846800327301),1937056.979,5621669.228,268,0.5,027F,3,6,239,0.39401674,10,361.86108,0.53872114
Point (1937056.97946818615309894 5621669.2278846800327301),1937056.979,5621669.228,268,0.5,027G,3,6,239,0.39401674,10,361.86108,0.53872114
Point (1929774.16624397109262645 5604530.50133582949638367),1929774.166,5604530.501,196,0.1,029A,1,4,259.9163,0.5950514,16,218.11823,0.39540365
Point (1906510.6771276171784848 5572463.85265751089900732),1906510.677,5572463.853,495,0.5,032A,3,13,439.86578,0.702906,10,361.86108,0.53872114
Point (1863699.76781105436384678 5544465.70524140354245901),1863699.768,5544465.705,367,0.5,033A,3,4,266.11273,0.5950514,16,218.11823,0.39540365
Point (1863439.38632712559774518 5544308.15645567700266838),1863439.386,5544308.156,403,0.5,033C,3,4,264.96945,0.5950514,16,218.11823,0.39540365
Point (1881255.41174476081505418 5522762.47367070429027081),1881255.412,5522762.474,800,0.5,034A,3,12,782.0686,0.6023249,12,502.12625,0.6824076
Point (1823869.67628001305274665 5463577.59843912906944752),1823869.676,5463577.598,314,0.5,039D,3,4,262.59952,0.5950514,16,218.11823,0.39540365
Point (1823869.67628001305274665 5463577.59843912906944752),1823869.676,5463577.598,314,0.5,039E,3,4,262.59952,0.5950514,16,218.11823,0.39540365
Point (1785647.90645368723198771 5394870.85042551904916763),1785647.906,5394870.85,511,0.5,040A,3,7,387.9002,0.68287367,5,736.6329,0.65327823
Point (1843034.07259358605369925 5680727.13157330919057131),1843034.073,5680727.132,200,0.5,081A,3,4,264.4077,0.5950514,16,218.11823,0.39540365
Point (1934655.31377966445870697 5774703.10830138716846704),1934655.314,5774703.108,350,0.5,085D,3,2,418,0.25372875,5,736.6329,0.65327823
Point (1934656.32964356639422476 5774760.33348506409674883),1934656.33,5774760.333,350,0.5,085M,3,4,274.23373,0.5950514,5,736.6329,0.65327823
Point (1934465.81565767200663686 5774756.72294424008578062),1934465.816,5774756.723,350,0.5,085N,3,2,418,0.25372875,255,NA,NA
Point (1783403.19513680459931493 5601513.0742776058614254),1783403.195,5601513.074,800,0.5,087B,3,4,270.79532,0.5950514,1,791.7739,0.6686169
Point (1982936.58189520565792918 5670158.86585135851055384),1982936.582,5670158.866,155,0.2,096A,2,4,275,0.5950514,255,NA,NA
Point (2003322.9807607198599726 5798299.04140040930360556),2003322.981,5798299.041,522,0.5,113A,3,13,439.86578,0.702906,6,491.11566,0.68166685
Point (1806928.45466470997780561 5549379.88053812365978956),1806928.455,5549379.881,387,0.5,114A,3,13,439.86578,0.702906,15,220.0589,0.4556925
Point (1843643.1246957229450345 5531114.52492321934551001),1843643.125,5531114.525,290,0.5,120A,3,4,265.359,0.5950514,16,218.11823,0.39540365
Point (1780138.19466134021058679 5449779.62888257764279842),1780138.195,5449779.629,506,0.5,123A,3,4,271.22662,0.5950514,11,691.41766,0.7239429
Point (1749109.13645375543273985 5426688.27068828232586384),1749109.136,5426688.271,245,0.2,132A,2,2,242,0.25372875,13,255.27419,0.65902555
Point (1982936.04533621342852712 5670147.85261603072285652),1982936.045,5670147.853,155,0.2,225B,2,4,275,0.5950514,255,NA,NA
Point (1760658.41198628745041788 5433384.82110907044261694),1760658.412,5433384.821,350,0.2,249A,2,6,235.11285,0.39401674,6,491.11566,0.68166685
