tid,tid_code,tid_name,prior_means,prior_errors,tid,tid_code,tid_name,posterior_means,posterior_errors,tid,tid_code,tid_name,new_posterior_means,new_posterior_errors
1,T01,T01,519.0,0.3521,1,T01,T01,519.0,0.5,1,T01,T01,882.3265,0.7291078
2,T02,T02,393.0,0.4161,2,T02,T02,393.0,0.5,2,T02,T02,772.30994,0.7966429
3,T03,T03,547.0,0.4695,3,T03,T03,547.0,0.5,3,T03,T03,967.9235,0.6667566
4,T04,T04,459.0,0.354,4,T04,T04,459.0,0.5,4,T04,T04,1046.707,0.71966136
5,T05,T05,402.0,0.3136,5,T05,T05,323.50406,0.40743098,5,T05,T05,739.1657,0.7500238
6,T06,T06,345.0,0.28,6,T06,T06,300.63953,0.3065942,6,T06,T06,472.8549,0.78796816
7,T07,T07,388.0,0.4161,7,T07,T07,535.78644,0.38078865,7,T07,T07,846.643,0.7388374
8,T08,T08,374.0,0.3249,8,T08,T08,514.9706,0.38078865,8,T08,T08,529.26904,0.7821312
9,T09,T09,497.0,0.3516,9,T09,T09,284.47095,0.36055514,9,T09,T09,435.3718,0.73315066
10,T10,T10,349.0,0.28,10,T10,T10,317.36844,0.33166248,10,T10,T10,349.02356,0.5582509
11,T11,T11,328.0,0.2736,11,T11,T11,266.87018,0.4,11,T11,T11,634.1745,0.861905
12,T12,T12,297.0,0.2931,12,T12,T12,297.0,0.5,12,T12,T12,416.77545,0.65610206
13,T13,T13,500.0,0.5,13,T13,T13,216.62369,0.25495097,13,T13,T13,301.3624,0.6213101
14,T14,T14,209.0,0.1749,14,T14,T14,241.8087,0.30748245,14,T14,T14,270.95175,0.60874295
15,T15,T15,363.0,0.28,15,T15,T15,198.6448,0.20525637,15,T15,T15,205.53915,0.37277764
16,T16,T16,246.0,0.2206,16,T16,T16,202.12587,0.20682013,16,T16,T16,214.85425,0.37424153
