gid,gid_code,gid_name,prior_means,prior_errors,gid,gid_code,gid_name,posterior_means,posterior_errors,gid,gid_code,gid_name,new_posterior_means,new_posterior_errors
1,G01,Peat,161.0,0.522,1,G01,Peat,162.89212,0.30103323,1,G01,Peat,180.35977,0.3550925
2,G04,Artificial fill,198.0,0.314,2,G04,Artificial fill,272.51273,0.28030595,2,G04,Artificial fill,369.4225,0.7521104
3,G05,Fluvial and estuarine deposits,239.0,0.867,3,G05,Fluvial and estuarine deposits,199.5024,0.43875366,3,G05,Fluvial and estuarine deposits,203.0705,0.4600175
4,G06,Alluvium and valley sediments,323.0,0.365,4,G06,Alluvium and valley sediments,271.05063,0.24348658,4,G06,Alluvium and valley sediments,365.81256,0.60890806
5,G08,Lacustrine,326.0,0.135,5,G08,Lacustrine,326.0,0.5,5,G08,Lacustrine,326.0,0.5
6,G09,"Beach, bar, dune deposits",339.0,0.647,6,G09,"Beach, bar, dune deposits",204.374,0.23219699,6,G09,"Beach, bar, dune deposits",209.12344,0.34465456
7,G10,Fan deposits,360.0,0.338,7,G10,Fan deposits,246.61383,0.3446012,7,G10,Fan deposits,387.96228,0.68793917
8,G11,Loess,376.0,0.38,8,G11,Loess,472.7494,0.3545621,8,G11,Loess,439.52023,0.53095955
9,G12,Glacigenic sediments,399.0,0.305,9,G12,Glacigenic sediments,399.0,0.5,9,G12,Glacigenic sediments,399.0,0.5
10,G13,Flood deposits,448.0,0.432,10,G13,Flood deposits,197.47285,0.20262977,10,G13,Flood deposits,196.45906,0.28294012
11,G14,Glacial moraines and till,453.0,0.512,11,G14,Glacial moraines and till,453.0,0.512,11,G14,Glacial moraines and till,398.11197,0.53134197
12,G15,Undifferentiated sediments and sedimentary rocks,455.0,0.545,12,G15,Undifferentiated sediments and sedimentary rocks,455.0,0.545,12,G15,Undifferentiated sediments and sedimentary rocks,586.8958,0.7249142
13,G16,Terrace deposits and old alluvium,458.0,0.761,13,G16,Terrace deposits and old alluvium,335.2795,0.6028869,13,G16,Terrace deposits and old alluvium,458.0,0.761
14,G17,Volcanic rocks and deposits,635.0,0.995,14,G17,Volcanic rocks and deposits,635.0,0.995,14,G17,Volcanic rocks and deposits,635.0,0.995
15,G18,Crystalline rocks,750.0,0.641,15,G18,Crystalline rocks,690.97437,0.446037,15,G18,Crystalline rocks,1204.5488,0.610694
