easting,northing
1576480.11040564,5207643.26943023
1577001.15247628,5207261.89818414
1573315.25142704,5206270.3514768
1573808.0613481,5206002.93866306
1576829.95183842,5206767.58601935
1568063.6539701,5205264.81817215
1570917.60632844,5204945.38420422
1574075.70638379,5205783.01372625
1575746.55678221,5204782.3478861
1568039.90609857,5204912.9448416
1569631.06817741,5204438.09052374
1572931.09190099,5203959.70859567
1575661.82952855,5204392.99453929
1575674.57452298,5204383.99762161
1573064.51617869,5202589.7117941
1573065.26568534,5202577.71621646
1574198.08035335,5201955.92897979
1574489.73267583,5202607.18184523
1572807.56788589,5199632.3114869
1573821.4422439,5200062.1399689
1572831.55620767,5199410.3937683
1573134.67501028,5197781.49868573
1575568.50315952,5197986.40043208
1575589.49510989,5197983.40135616
1570248.00448686,5197391.16048257
1571033.70784697,5196821.86801258
1571930.37209388,5196932.32305823
1572871.01874898,5197086.2605174
1573521.27114808,5196876.33527174
1575941.35304666,5197323.64861003
1570087.56033654,5196623.94436935
1571259.86949508,5196098.13619437
1572222.75878041,5196403.01922541
1573082.18330396,5196278.56204492
1573543.50824303,5196255.06862856
1575952.33837684,5196255.05454664
1571041.94896279,5195445.37958975
1572382.19356441,5195365.90680025
1572561.87564685,5195382.40017096
1575164.38116768,5194760.62694815
1575799.88768546,5195019.02579739
1571186.8948365,5194362.28365005
1571678.95922467,5194348.78893774
1573109.91697211,5194207.84167677
1575213.11229907,5193959.43309793
1575798.88669961,5194407.75986063
1568031.08461574,5193092.74403889
1571417.06230232,5193411.14033402
1571499.28101947,5193445.62758653
1575125.89674475,5193273.695843
1571999.59983427,5192071.64682062
1574928.97750799,5191863.23685137
1571385.0946585,5190844.10654057
1571699.47066477,5191281.94346327
1573928.87075174,5190752.65882923
1575132.65160172,5191308.95065923
1575838.37760831,5191316.95003181
1570375.99146332,5189748.01009937
1571326.1204479,5190533.22347003
1571444.07532417,5190550.21806605
1572971.7448771,5190141.38601077
1573939.86668231,5190731.16712765
1575340.82356466,5190857.12566627
1568555.44028588,5189079.23734079
1569010.26555243,5189275.17052507
1570292.53131835,5189173.22559574
1570974.2677446,5189457.62642553
1571674.5063991,5188997.8087803
1573028.47769218,5189701.55449104
1568397.27104734,5187903.67390393
1569240.69478446,5188294.54126711
1569440.62105326,5188176.08887276
1571136.96717445,5188646.93533929
1571955.15797663,5188346.56010327
1572996.01049088,5188087.17245111
1568529.24272053,5186835.57632976
1568933.33754393,5186925.55026745
1570437.00377166,5187492.86249703
1571122.74469133,5187294.94863115
1571986.15906048,5187509.38006881
1573055.00001917,5187259.99106195
1576067.32953334,5186775.21955448
1566217.38545127,5185871.89315746
1566699.95508426,5185855.90802792
1568246.11607281,5186110.84247575
1568876.87400176,5186224.31299276
1570057.91945769,5186415.76391333
1572998.03994185,5186200.89812452
1573938.41849739,5186507.79426145
1575071.97910336,5186235.41671087
1576021.85475306,5186255.92239119
1576885.51260805,5186274.42802013
1565528.15554782,5185394.0563309
1566147.17555442,5185342.08815832
1566967.36698081,5185370.59373763
1568315.84736534,5185778.46877341
1569333.73008489,5184918.31611206
1570052.94228357,5185444.13246974
1573159.99162169,5185410.2063044
1574095.12777474,5185325.7556041
1574897.82114839,5184855.95283193
1576013.12455676,5185205.83458004
1577006.98226564,5185051.91236312
1577619.73293732,5185383.2910925
1566939.15755335,5184260.00778285
1567996.25883745,5184203.05361379
1569174.30198756,5184479.97841938
1570180.42987527,5183919.71582872
1571049.09768875,5183785.28818578
1572402.81122034,5184236.14519597
1573013.06653695,5184542.039546
1573882.49041898,5183868.81897084
1575032.53017505,5184219.70446959
1576173.57694758,5184284.70033359
1577086.96322769,5184274.22165931
1577648.48271213,5184641.58581342
1563017.65410489,5183242.78463948
1567063.90543111,5182738.58109441
1568056.76552197,5183149.95236331
1569038.38602831,5183284.42842322
1569931.29208196,5183305.94381155
1571127.07969992,5183305.97411504
1572011.23715034,5183257.51432634
1572950.11203998,5183603.90194586
1573932.9843191,5183259.55770642
1575099.27443084,5183231.59363784
1576051.3946251,5183311.581922
1577035.50318442,5183235.6326235
1578143.06515686,5182889.79281413
1563146.88156839,5182508.05733024
1565315.08623704,5182099.77210127
1566241.98329215,5182210.75702059
1566951.70919042,5182382.21208551
1568237.22940274,5182066.3677011
1569000.43162594,5182222.33118586
1570017.29647337,5181985.95096478
1571062.88364563,5182235.88417294
1572072.2392423,5182267.89866531
1573052.35524234,5182263.92526293
1574117.93737055,5182185.98192252
1575020.82887153,5182222.48889074
1576047.41959223,5182247.50260057
1577028.02579681,5182299.00473608
1578147.57642959,5182239.55297882
1578442.71153381,5182030.14321314
1566237.77049017,5181166.64825746
1567040.96807548,5181096.69874915
1568019.08926707,5181255.16856808
1569094.92673731,5181216.71750005
1570023.31896059,5181176.26174174
1570998.93510276,5181326.73296242
1572099.00470182,5181344.75748828
1573142.09519133,5181330.79164351
1574013.50155621,5181311.3224175
1575046.84428622,5181200.89246211
1576113.16189217,5181466.31393825
1576744.90840526,5181471.32761701
1577963.42328221,5181214.95939829
1578765.10694688,5180836.13065114
1565352.64429299,5180105.01768912
1566417.9724559,5180598.86722699
1567358.87995901,5180163.06162539
1567979.38800363,5180280.53752284
1569274.87741641,5180602.95797327
1570145.55421953,5180168.65320132
1571020.71210852,5180194.67131509
1571824.39084411,5180400.61636602
1573253.84254079,5179918.84773101
1573943.0593466,5180253.23645741
1575376.74080206,5180163.31191265
1575958.51295242,5179973.9032388
1578308.29668247,5180655.19257825
1578886.08045109,5179880.01971725
1559817.51909814,5178618.35290096
1563186.24732932,5179146.29620322
1563593.09743015,5179088.33318659
1566353.29469972,5179332.34238242
1567197.47912207,5179161.93606141
1568587.94140115,5179231.45940756
1569140.9822375,5179094.5319445
1570047.6231743,5179274.49475468
1571124.45081673,5179317.01506674
1572074.57932477,5179261.06831856
