ID,Station,Latitude,Longitude,Vs30,q,σln(VS30),SMS,Note,Source,,
1,AMI 2,-43.54164,172.65508,288.44,2,,N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
2,AMI 3,-43.54163,172.6551,261.27,2,,N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
3,AMI 4,-43.54213,172.65468,200.99,2,,N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
4,AMI 5,-43.54273,172.65343,194.51,2,,N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
5,AMI 6,-43.54242,172.65262,197.31,2,,N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
6,S New Brighton Bridge,-43.52517,172.72512,189.75,2,,N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
7,SW AVD 02,-43.50652,172.68583,205.15,2,, N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
8,SW 6426,-43.50425,172.66545,203.56,2,,N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
9,SW KAS 40,-43.37932,172.65348,217.49,2,,N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
10,SW 6409 / SHY09,-43.50517,172.65922,174,2,, N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
11,SW AVD 07,-43.50852,172.68702,180.14,2,,N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
12,SW BUR 46,-43.49815,172.70025,177.38,2,,N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
13,SW CBD 21,-43.52435,172.63265,187.54,2,,N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
14,SW FND 01,-43.52393,172.61217,175,2,, N,Extended to 30 m,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.
15,SW KAN 03,-43.38132,172.66673,169,2,, N,Extended to 30 m,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.
16,SW KAN 05,-43.383,172.65913,205,2,, N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
17,SW KAN 19,-43.38057,172.66871,195.47,2,,N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
18,SW KAN 26,-43.38087,172.65688,197,2,, N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
19,SW KAS 20,-43.37935,172.64838,206.16,2,,N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
20,SW Z2-4,-43.52833,172.63532,176,2,, N,Extended to 30 m,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.
21,SW Z2-6,-43.52763,172.63697,181.4,2,,N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
22,SW Z4-4,-43.52875,172.64227,191.67,2,,N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
23,Burnside Park,-43.505591,172.565624,294,2,0.04, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
24,Cashmere High,-43.566681,172.623209,222,2,0.01, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
25,Christchurch Park,-43.501391,172.647934,160,2,0.05, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
26,Fitzgerald,-43.524599,172.648853,211,2,0.02, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
27,Garrick Park,-43.546876,172.674017,183,2,0.02, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
28,Groynes,-43.441365,172.620876,223,2,0.03, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
29,Hagley Park,-43.536962,172.616054,188,2,0.04, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
30,Ilam Fields,-43.52269,172.575867,297,2,0.04, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
31,Latimer Square,-43.53057,172.642643,192,2,0.02, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
32,Porritt Park,-43.515499,172.685487,186,2,0.04, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
33,QEII Park,-43.492047,172.70909,202,2,0.06, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
34,Redwood Park,-43.476662,172.613207,188,2,0.02, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
35,Riccarton High Fields,-43.534568,172.565783,324,2,0.03, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
36,South New Brighton Park,-43.532757,172.734162,184,2,0.04, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
37,SDMT_205742.csv,-37.67240483,176.1649251,188.9253415,1,,,,,,
38,SCPT_218970.csv,-36.78900296,174.772845,180.5112246,1,,,,,,
39,SCPT_196093.csv,-45.03528103,168.748372,249.7107665,1,,,,,,
40,SCPT_205818.csv,-37.69594623,176.0650693,197.2741083,1,,,,,,
41,SCPT_36413.csv,-43.50113069,172.6860159,174.9631735,1,,,,,,
42,SCPT_192457.csv,-37.10499199,174.951928,191.264412,1,,,,,,
43,SCPT_192469.csv,-37.15592604,174.897729,224.6781877,1,,,,,,
44,SCPT_154775.csv,-41.32618443,174.8089299,234.6923591,1,,,,,,
45,SCPT_165738.csv,-36.5920943,174.6894258,156.5443238,2,,,,,,
46,SDMT_156437.csv,-37.68197808,176.1691394,178.5323007,2,,,,,,
47,SDMT_92537.csv,-37.77045519,175.330624,163.0681213,2,,,,,,
48,SDMT_92555.csv,-37.76642616,175.3265699,174.7567546,2,,,,,,
49,SDMT_92547.csv,-37.79027328,175.3409668,265.0026249,2,,,,,,
50,SDMT_156439.csv,-37.68215966,176.169527,212.827474,2,,,,,,
51,SDMT_156435.csv,-37.68166035,176.1689735,255.0180574,2,,,,,,
52,SCPT_229870.csv,-36.89260902,174.685413,111.7028651,2,,,,,,
53,SCPT_182797.csv,-43.610526,172.70983,140.9088988,2,,,,,,
54,SDMT_92557.csv,-37.76637933,175.3266592,181.7362654,2,,,,,,
55,SDMT_92535.csv,-37.76111664,175.3184352,181.7736687,2,,,,,,
56,SCPT_192465.csv,-37.10514304,174.951239,187.6102336,2,,,,,,
57,SDMT_92542.csv,-37.7935788,175.3451251,241.8374803,2,,,,,,
58,SDMT_92534.csv,-37.74726731,175.3073578,241.8374803,2,,,,,,
59,SCPT_192483.csv,-37.122508,174.935964,213.5477319,2,,,,,,
60,SCPT_192480.csv,-37.12287499,174.935529,214.3140807,2,,,,,,
61,SCPT_148995.csv,-37.68832067,176.2305748,204.8487871,2,,,,,,
62,SDMT_92556.csv,-37.76650044,175.3264587,179.6257312,2,,,,,,
63,SDMT_92538.csv,-37.77091179,175.3307746,207.8452343,2,,,,,,
64,SDMT_205743.csv,-37.67226978,176.1633011,211.338236,2,,,,,,
65,SCPT_205817.csv,-37.69590174,176.0649822,210.991952,2,,,,,,
66,SCPT_192473.csv,-37.15610304,174.89845,264.6666157,2,,,,,,
67,SCPT_165739.csv,-36.59361113,174.6905208,191.8339506,2,,,,,,
68,SDMT_100703.csv,-37.68912054,175.1836725,229.7433008,2,,,,,,
69,SDMT_92546.csv,-37.81648691,175.34234,257.3189923,2,,,,,,
70,SCPT_148999.csv,-37.68860024,176.2307326,216.9590386,2,,,,,,
71,SCPT_148998.csv,-37.68843692,176.2301436,200.0013266,2,,,,,,
72,SCPT_148992.csv,-37.68851836,176.2303474,197.8826108,2,,,,,,
73,SDMT_92540.csv,-37.79283727,175.343898,155.8199542,2,,,,,,
74,SDMT_183367.csv,-37.7042654,176.1219751,223.3864048,2,,,,,,
75,SDMT_183366.csv,-37.70481844,176.1227602,196.1079893,2,,,,,,
76,SCPT_156298.csv,-37.77790088,175.3044046,221.7151726,2,,,,,,
77,SDMT_123179.csv,-36.83911083,174.7572097,216.293853,2,,,,,,
78,SDMT_67004.csv,-36.9664251,174.7792797,140.1225557,2,,,,,,
79,SDMT_122142.csv,-37.69109861,176.2369138,143.8189325,2,,,,,,
80,SCPT_140254.csv,-37.8003826,175.3093076,196.954169,2,,,,,,
81,SDMT_211107.csv,-36.91251832,174.8734491,220.3967414,2,,,,,,
82,SDMT_123178.csv,-36.83851205,174.7579053,172.4592608,2,,,,,,
83,SDMT_122141.csv,-37.69200562,176.2389261,195.667788,2,,,,,,
84,SDMT_139896.csv,-37.7916985,175.291345,219.0998861,2,,,,,,
85,SCPT_156300.csv,-37.77848005,175.3047404,208.3266671,2,,,,,,
86,SDMT_67016.csv,-36.96760694,174.7792061,124.2010829,2,,,,,,
87,SDMT_67012.csv,-36.96769279,174.7770851,171.9447956,2,,,,,,
88,SCPT_240353.csv,-37.79329704,175.285985,226.8889464,2,,,,,,
89,SDMT_92549.csv,-37.80965351,175.3442934,298.5569352,2,,,,,,
90,SCPT_234267.csv,-38.07635553,176.7221761,178.7237103,2,,,,,,
91,SCPT_140263.csv,-37.80139106,175.3101021,291.3026244,2,,,,,,
92,SDMT_134555.csv,-36.98925155,174.8560183,271.8979854,2,,,,,,
93,SDMT_92525.csv,-37.81468308,175.3424193,222.8884363,2,,,,,,
94,SDMT_92545.csv,-37.81649767,175.3431582,262.9202247,2,,,,,,
95,SCPT_140251.csv,-37.80128098,175.3096455,298.742819,2,,,,,,
96,SCPT_114322.csv,-38.37333779,178.3015746,227.3161857,2,,,,,,
97,SCPT_114319.csv,-38.37377845,178.3003946,220.4834274,2,,,,,,
98,SDMT_67003.csv,-36.96402538,174.7806278,175.888723,2,,,,,,
99,SDMT_66984.csv,-36.96140563,174.7762089,198.5594856,2,,,,,,
100,SCPT_57363.csv,-43.50612346,172.6157091,188.1327821,2,,,,,,
101,SCPT_217000.csv,-37.66565609,175.507634,229.1957427,2,,,,,,
102,SCPT_57366.csv,-43.51040775,172.6619955,186.4617593,2,,,,,,
103,SCPT_57365.csv,-43.56063602,172.673124,177.2285389,2,,,,,,
104,SCPT_57362.csv,-43.51299235,172.6461368,149.874959,2,,,,,,
105,SCPT_57360.csv,-43.55132653,172.6882261,168.5201482,2,,,,,,
106,SCPT_57358.csv,-43.50717706,172.6291273,164.4711741,2,,,,,,
107,SCPT_57357.csv,-43.54464319,172.659454,161.7337016,2,,,,,,
108,SCPT_57356.csv,-43.54319756,172.6576153,164.3458875,2,,,,,,
109,SCPT_57355.csv,-43.54725172,172.6374936,161.1648113,2,,,,,,
110,SCPT_57354.csv,-43.50812237,172.6871791,178.9134089,2,,,,,,
111,SCPT_57350.csv,-43.49521226,172.718122,196.8775869,2,,,,,,
112,SCPT_57349.csv,-43.50927685,172.7064814,188.5907449,2,,,,,,
113,SCPT_57348.csv,-43.51159543,172.7114276,196.5527462,2,,,,,,
114,SCPT_57347.csv,-43.51079779,172.7099517,186.3028961,2,,,,,,
115,SCPT_57346.csv,-43.5043352,172.6606364,172.4306634,2,,,,,,
116,SCPT_57345.csv,-43.52988102,172.5921606,156.6393781,2,,,,,,
117,SCPT_57343.csv,-43.50670102,172.7213918,198.726005,2,,,,,,
118,SCPT_57342.csv,-43.50548833,172.690782,172.6170551,2,,,,,,
119,SCPT_57341.csv,-43.54882452,172.6953732,172.7805621,2,,,,,,
120,SCPT_57279.csv,-43.5183583,172.6347804,149.1501312,2,,,,,,
121,SCPT_195941.csv,-37.21103596,174.913453,84.41299403,2,,,,,,
122,SCPT_218529.csv,-36.88248502,174.915826,238.6376003,2,,,,,,
123,SCPT_184148.csv,-36.85209039,174.6468414,203.191289,2,,,,,,
124,SCPT_156311.csv,-38.65487508,175.9257097,234.5306163,2,,,,,,
125,SCPT_156310.csv,-38.6548184,175.9254546,237.8176643,2,,,,,,
126,SCPT_156308.csv,-38.65494555,175.9254139,230.9276329,2,,,,,,
127,SCPT_156307.csv,-38.65487499,175.9253535,242.2357038,2,,,,,,
128,SCPT_154032.csv,-37.66428999,176.200125,230.82373,2,,,,,,
129,SDMT_92524.csv,-37.81418802,175.3419379,223.4919135,2,,,,,,
130,SDMT_120590.csv,-36.91335172,174.873321,198.3329655,2,,,,,,
131,SCPT_140260.csv,-37.80120909,175.3092999,236.8146978,2,,,,,,
