Station,easting,northing,Vs30,Std,q
CPT_10001_measurement_num_0,1570256.81,5178665.74,146.6,,5
CPT_10003_measurement_num_0,1571621.24,5179830.33,168.86,,5
CPT_10004_measurement_num_0,1571595.25,5179847.32,167,,5
CPT_10005_measurement_num_0,1570681.58,5180752.94,156.14,,5
CPT_10013_measurement_num_0,1573937.02,5182068.18,181.78,,5
CPT_10021_measurement_num_0,1573742.53,5181966.29,168.96,,5
CPT_100374_measurement_num_0,1570065.1,5182794.96,160.37,,5
CPT_100375_measurement_num_0,1570088.5,5182802.84,164.44,,5
CPT_100380_measurement_num_0,1579072.5,5176350.89,149.62,,5
CPT_10043_measurement_num_0,1579731.52,5177559.15,185.96,,5
CPT_100487_measurement_num_0,1574119.21,5177887.92,173.12,,5
CPT_100537_measurement_num_0,1570258,5180858,163.84,,5
CPT_10056_measurement_num_0,1573893.42,5177322.39,182,,5
CPT_10058_measurement_num_0,1573911.42,5177319.39,175.31,,5
CPT_1005_measurement_num_0,1571979.59,5178186.64,144.3,,5
CPT_100604_measurement_num_0,1874167.56,5817225.4,221.24,,5
CPT_100605_measurement_num_0,1874205.07,5817203.78,215.19,,5
CPT_10066_measurement_num_0,1569082.1,5182948.93,146.59,,5
CPT_100699_measurement_num_0,1792524.77,5826425.17,247.43,,5
CPT_100746_measurement_num_0,1573358.6,5178433.93,167.93,,5
CPT_1007_measurement_num_0,1571725.29,5178024.74,146.42,,5
CPT_100848_measurement_num_0,1574010.32,5178985.74,181.63,,5
CPT_100849_measurement_num_0,1573984.33,5178987.74,186.63,,5
CPT_10095_measurement_num_0,1576349.51,5183515.46,175.73,,5
CPT_10097_measurement_num_0,1576595.43,5183792.92,180.06,,5
CPT_10098_measurement_num_0,1576597.08,5183522.19,188.79,,5
CPT_10100_measurement_num_0,1576748.44,5183860.77,183.76,,5
CPT_101016_measurement_num_0,1748603.43,5925281.87,174.41,,5
CPT_10101_measurement_num_0,1576588.96,5183731.56,173.98,,5
CPT_101025_measurement_num_0,1748768.38,5925350.24,184.8,,5
CPT_101026_measurement_num_0,1748899.38,5925427.19,187.35,,5
CPT_10110_measurement_num_0,1576656.49,5183605.81,180.22,,5
CPT_10112_measurement_num_0,1576691.93,5183644.73,185.44,,5
CPT_10113_measurement_num_0,1576685.43,5183605.84,187.91,,5
CPT_10115_measurement_num_0,1576578.61,5183631.79,176.02,,5
CPT_10117_measurement_num_0,1576570.37,5183553.53,178.73,,5
CPT_101206_measurement_num_0,1804256.9,5810307.51,183.39,,5
CPT_101221_measurement_num_0,1804239.71,5812497.76,210.98,,5
CPT_10126_measurement_num_0,1576845.58,5183817.96,181.45,,5
CPT_1012_measurement_num_0,1569436.36,5178977.77,132.47,,5
CPT_101357_measurement_num_0,1880979.72,5826899.22,196.76,,5
CPT_101358_measurement_num_0,1881033.37,5826901.44,219.08,,5
CPT_101359_measurement_num_0,1881107.15,5826901.21,198.5,,5
CPT_101360_measurement_num_0,1881165.77,5826907.96,190.32,,5
CPT_10162_measurement_num_0,1570062,5180863,80.34,,5
CPT_10169_measurement_num_0,1569548,5183335,138.77,,5
CPT_1017_measurement_num_0,1570959.43,5178996.84,131.14,,5
CPT_10180_measurement_num_0,1576495,5183773,177.16,,5
CPT_1018_measurement_num_0,1571152.6,5178998.29,145.4,,5
CPT_101_measurement_num_0,1572621.8,5181199.47,154.42,,5
CPT_10217_measurement_num_0,1570970,5181372,150.08,,5
CPT_102352_measurement_num_0,1575044.7,5182096.4,156.11,,5
CPT_102355_measurement_num_0,1575030.3,5182079.16,155.37,,5
CPT_10256_measurement_num_0,1579348,5178971,192.49,,5
CPT_102596_measurement_num_0,1580631.63,5175969.22,190.74,,5
CPT_102598_measurement_num_0,1580597.51,5175948.09,191.11,,5
CPT_102600_measurement_num_0,1580607.29,5175960.04,192.88,,5
CPT_102657_measurement_num_0,1578780.61,5177266.88,167.49,,5
CPT_102666_measurement_num_0,1577004.05,5184910.05,183.82,,5
CPT_102667_measurement_num_0,1577024.54,5184908.61,181.44,,5
CPT_102787_measurement_num_0,1578092.81,5181806.93,192.9,,5
CPT_102789_measurement_num_0,1578069.88,5181794.63,190.93,,5
CPT_1027_measurement_num_0,1570427.95,5178858.08,142.43,,5
CPT_102881_measurement_num_0,1575542.61,5182565.36,184.14,,5
CPT_102885_measurement_num_0,1575571.6,5182533.38,179.98,,5
CPT_102886_measurement_num_0,1573477.9,5189033.4,148.67,,5
CPT_102887_measurement_num_0,1573476.31,5189059.8,157.65,,5
