tid,tid_code,tid_name,prior_means,prior_errors,posterior_means,posterior_errors,new_posterior_means,new_posterior_errors,weighted_means,weighted_errors
1,T01,T01,519.0,0.3521,519.0,0.5,791.7739,0.6686169,824.4444444444445,0.43901196080432137
2,T02,T02,393.0,0.4161,393.0,0.5,730.71454,0.7424247,580.8333333333334,0.37425869666869155
3,T03,T03,547.0,0.4695,547.0,0.5,934.96515,0.6438865,1187.5,0.27953651581081096
4,T04,T04,459.0,0.354,459.0,0.5,1023.52203,0.707888,1366.6666666666667,0.22129385660473724
5,T05,T05,402.0,0.3136,323.50406,0.40743098,712.7078,0.6707742,700.5721090686275,0.5871634387958357
6,T06,T06,345.0,0.28,300.63953,0.3065942,491.11566,0.68166685,369.12123555377207,0.3117817149976876
7,T07,T07,388.0,0.4161,535.78644,0.38078865,731.2639,0.7345497,754.1269387755102,0.6171741727899526
8,T08,T08,374.0,0.3249,514.9706,0.38078865,543.09216,0.7506299,513.0217926829268,0.7035060835612633
9,T09,T09,497.0,0.3516,284.47095,0.36055514,442.80386,0.7205404,359.08514821882943,0.5138654756835191
10,T10,T10,349.0,0.28,317.36844,0.33166248,361.86108,0.53872114,342.3402289603961,0.30517408720632855
11,T11,T11,328.0,0.2736,266.87018,0.4,661.4106,0.7483102,500.05091430738116,0.5808459107303852
12,T12,T12,297.0,0.2931,297.0,0.5,502.12625,0.6824076,750.0,0.1245699914782988
13,T13,T13,500.0,0.5,216.62369,0.25495097,236.46332,0.59517634,190.28457169884172,0.3329426962566717
14,T14,T14,209.0,0.1749,241.8087,0.30748245,256.5755,0.45749572,256.2537747629083,0.31662038274232296
15,T15,T15,363.0,0.28,198.6448,0.20525637,212.30998,0.43305895,216.9624011505589,0.2767705112235299
16,T16,T16,246.0,0.2206,202.12587,0.20682013,214.45538,0.3835515,234.19575913415142,0.32936684772559555
