tid,tid_code,tid_name,prior_means,prior_errors,posterior_means,posterior_errors,new_posterior_means,new_posterior_errors,weighted_means,weighted_errors
1,T01,T01,519.0,0.3521,519.0,0.5,524.1722,0.4447415,540.0,0.5
2,T02,T02,393.0,0.4161,393.0,0.5,407.2105,0.44021034,453.0,0.5
3,T03,T03,547.0,0.4695,547.0,0.5,547.0,0.5,547.0,0.5
4,T04,T04,459.0,0.354,459.0,0.5,459.0,0.5,459.0,0.5
5,T05,T05,402.0,0.3136,323.50406,0.40743098,422.5665,0.5817305,520.3271024999999,0.6012077140976179
6,T06,T06,345.0,0.28,300.63953,0.3065942,304.6497,0.40461975,333.75744304347825,0.2079197746356442
7,T07,T07,388.0,0.4161,535.78644,0.38078865,424.74414,0.56242716,541.1288000000001,0.5
8,T08,T08,374.0,0.3249,514.9706,0.38078865,330.90652,0.49240214,229.19574,0.5
9,T09,T09,497.0,0.3516,284.47095,0.36055514,277.86774,0.52787745,291.9398869230769,0.39986883361728387
10,T10,T10,349.0,0.28,317.36844,0.33166248,318.93848,0.40054592,315.738175,0.26376244246421754
11,T11,T11,328.0,0.2736,266.87018,0.4,312.1425,0.5407246,416.96285363636366,0.5030286575491231
12,T12,T12,297.0,0.2931,297.0,0.5,297.0,0.5,297.0,0.5
13,T13,T13,500.0,0.5,216.62369,0.25495097,207.45831,0.46730456,184.94315321568627,0.3055512457828249
14,T14,T14,209.0,0.1749,241.8087,0.30748245,230.81378,0.34232873,251.51225108108113,0.30389944215570436
15,T15,T15,363.0,0.28,198.6448,0.20525637,197.43127,0.29842857,213.13156953488374,0.2567317157900319
16,T16,T16,246.0,0.2206,202.12587,0.20682013,202.11382,0.2994538,232.31632856140354,0.3257715628325604
