gid,gid_code,gid_name,prior_means,prior_errors,posterior_means,posterior_errors,new_posterior_means,new_posterior_errors,weighted_means,weighted_errors
1,G01,Peat,161.0,0.522,162.89212,0.30103323,171.58102,0.3199353,159.707791125,0.24786701174109463
2,G04,Artificial fill,198.0,0.314,272.51273,0.28030595,285.63126,0.52947384,287.70480404823434,0.29086429419770404
3,G05,Fluvial and estuarine deposits,239.0,0.867,199.5024,0.43875366,202.95233,0.38203585,202.163831875,0.13714984035926625
4,G06,Alluvium and valley sediments,323.0,0.365,271.05063,0.24348658,309.80627,0.5774919,305.14660789155164,0.4224149575522796
5,G08,Lacustrine,326.0,0.135,326.0,0.5,369.85883,0.6012156,270.87574038461537,0.5
6,G09,"Beach, bar, dune deposits",339.0,0.647,204.374,0.23219699,223.52426,0.40737337,226.77194584632835,0.24927516002443034
7,G10,Fan deposits,360.0,0.338,246.61383,0.3446012,369.56125,0.689098,334.45030632411067,0.48916911650286055
8,G11,Loess,376.0,0.38,472.7494,0.3545621,405.4836,0.5624408,451.36842105263145,0.3791189734892284
9,G12,Glacigenic sediments,399.0,0.305,399.0,0.5,399.0,0.5,399.0,0.5
10,G13,Flood deposits,448.0,0.432,197.47285,0.20262977,194.00082,0.28191137,207.39641444915802,0.2346116074449299
11,G14,Glacial moraines and till,453.0,0.512,453.0,0.512,398.11197,0.53134197,328.0,0.5
12,G15,Undifferentiated sediments and sedimentary rocks,455.0,0.545,455.0,0.545,571.16675,0.8200622,452.1306565014903,0.7434669837338105
13,G16,Terrace deposits and old alluvium,458.0,0.761,335.2795,0.6028869,314.22235,0.6399886,233.23115135135134,0.25625650470534717
14,G17,Volcanic rocks and deposits,635.0,0.995,635.0,0.995,711.34503,0.91852474,1000.0,0.5
15,G18,Crystalline rocks,750.0,0.641,690.97437,0.446037,829.65283,0.8581185,549.3086400388098,0.7961249770289412
