gid,gid_code,gid_name,prior_means,prior_errors,posterior_means,posterior_errors,new_posterior_means,new_posterior_errors,weighted_means,weighted_errors
1,G01,Peat,161.0,0.522,162.89212,0.30103323,171.58102,0.3199353,159.707791125,0.24786701174109463
2,G04,Artificial fill,198.0,0.314,272.51273,0.28030595,250.3914,0.3958058,282.58958,0.276089754788895
3,G05,Fluvial and estuarine deposits,239.0,0.867,199.5024,0.43875366,202.95233,0.38203585,202.163831875,0.13714984035926625
4,G06,Alluvium and valley sediments,323.0,0.365,271.05063,0.24348658,249.48116,0.41089973,295.4520354064516,0.41076416195230187
5,G08,Lacustrine,326.0,0.135,326.0,0.5,304.9808,0.45091692,249.71077,0.5
6,G09,"Beach, bar, dune deposits",339.0,0.647,204.374,0.23219699,209.83913,0.29943326,224.04277784172666,0.23587505818808083
7,G10,Fan deposits,360.0,0.338,246.61383,0.3446012,254.9732,0.49090216,297.6352333333333,0.43103994272669166
8,G11,Loess,376.0,0.38,472.7494,0.3545621,440.836,0.53688735,458.3999999999999,0.5
9,G12,Glacigenic sediments,399.0,0.305,399.0,0.5,399.0,0.5,399.0,0.5
10,G13,Flood deposits,448.0,0.432,197.47285,0.20262977,193.46167,0.27712196,207.29732578778138,0.23415070940132765
11,G14,Glacial moraines and till,453.0,0.512,453.0,0.512,453.0,0.512,453.0,0.5
12,G15,Undifferentiated sediments and sedimentary rocks,455.0,0.545,455.0,0.545,244.92561,0.6381038,342.72699145238096,0.6438356637935544
13,G16,Terrace deposits and old alluvium,458.0,0.761,335.2795,0.6028869,252.90228,0.5083663,212.22721714285714,0.10063237047288237
14,G17,Volcanic rocks and deposits,635.0,0.995,635.0,0.995,635.0,0.995,635.0,0.5
15,G18,Crystalline rocks,750.0,0.641,690.97437,0.446037,286.69708,0.56984264,235.99919761904764,0.19320685417816136
