easting,northing,vs30,uncertainty,station,q,gid,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv
1576480.1104056418,5207643.269430228,224.85387,0.20000000298023224,NA,NA,6,213.67421,0.38081262,16,214.4554,0.38355148
1577001.152476283,5207261.8981841365,205.06209,0.20000000298023224,NA,NA,6,217.67502,0.38081262,16,214.4554,0.38355148
1573315.2514270404,5206270.351476801,164.72166,0.20000000298023224,NA,NA,10,194.00081,0.28191137,16,214.4554,0.38355148
1573808.0613481023,5206002.938663059,151.65314,0.20000000298023224,NA,NA,10,194.00081,0.28191137,15,212.30998,0.43305895
1576829.9518384219,5206767.586019354,220.53214,0.20000000298023224,NA,NA,6,217.96611,0.38081262,16,214.4554,0.38355148
1568063.6539701042,5205264.818172148,225.27951,0.20000000298023224,NA,NA,4,265.769,0.5767989,16,214.4554,0.38355148
1570917.6063284436,5204945.384204217,185.5686,0.20000000298023224,NA,NA,10,194.00081,0.28191137,16,214.4554,0.38355148
1574075.7063837913,5205783.013726249,160.4534,0.20000000298023224,NA,NA,10,194.00081,0.28191137,16,214.4554,0.38355148
1575746.5567822068,5204782.347886098,199.89568,0.20000000298023224,NA,NA,6,206.22656,0.38081262,16,214.4554,0.38355148
1568039.906098571,5204912.944841599,227.85147,0.20000000298023224,NA,NA,4,265.9594,0.5767989,16,214.4554,0.38355148
1569631.0681774106,5204438.090523737,200.34004,0.20000000298023224,NA,NA,10,194.00081,0.28191137,16,214.4554,0.38355148
1572931.0919009948,5203959.708595668,151.51978,0.20000000298023224,NA,NA,10,194.00081,0.28191137,16,214.4554,0.38355148
1575661.8295285455,5204392.994539292,200.48517,0.20000000298023224,NA,NA,6,218.22244,0.38081262,16,214.4554,0.38355148
1575674.5745229765,5204383.997621608,213.54175,0.20000000298023224,NA,NA,6,218.22244,0.38081262,16,214.4554,0.38355148
1573064.5161786864,5202589.711794097,180.70317,0.20000000298023224,NA,NA,10,194.00081,0.28191137,15,212.30998,0.43305895
1573065.265685344,5202577.71621646,170.5126,0.20000000298023224,NA,NA,10,194.00081,0.28191137,15,212.30998,0.43305895
1574198.080353346,5201955.92897979,184.84479,0.20000000298023224,NA,NA,10,194.00081,0.28191137,16,214.4554,0.38355148
1574489.732675835,5202607.181845227,217.80423,0.20000000298023224,NA,NA,10,194.00081,0.28191137,16,214.4554,0.38355148
1572807.5678858943,5199632.311486902,209.11757,0.20000000298023224,NA,NA,6,204.76987,0.38081262,16,214.4554,0.38355148
1573821.4422438955,5200062.139968902,214.86989,0.20000000298023224,NA,NA,10,194.00081,0.28191137,16,214.4554,0.38355148
1572831.5562076732,5199410.3937683,209.66026,0.20000000298023224,NA,NA,6,209.68175,0.38081262,16,214.4554,0.38355148
1573134.6750102846,5197781.498685728,257.55875,0.20000000298023224,NA,NA,6,210.48042,0.38081262,16,214.4554,0.38355148
1575568.5031595156,5197986.400432076,196.16525,0.20000000298023224,NA,NA,10,194.00081,0.28191137,15,212.30998,0.43305895
1575589.4951098855,5197983.4013561625,194.31044,0.20000000298023224,NA,NA,10,194.00081,0.28191137,15,212.30998,0.43305895
1570248.0044868554,5197391.16048257,259.79944,0.20000000298023224,NA,NA,10,194.00081,0.28191137,16,214.4554,0.38355148
1571033.707846967,5196821.868012575,205.715,0.20000000298023224,NA,NA,10,194.00081,0.28191137,15,212.30998,0.43305895
1571930.3720938847,5196932.323058234,208.89049,0.20000000298023224,NA,NA,10,194.00081,0.28191137,15,212.30998,0.43305895
